year,energy_kwh_per_capita
2000,13743000000.0
2001,15162000000.0
2002,21353000000.0
2003,28349000000.0
2004,37211000000.0
2005,43764000000.0
2006,52480000000.0
2007,68199000000.0
2008,73840000000.0
2009,76908000000.0
2010,84227000000.0
2011,106366000000.0
2012,121287000000.0
2013,129341000000.0
2014,142939000000.0
2015,169808000000.0
2016,169126000000.0
2017,196173000000.0
2018,204382000000.0
2019,220601000000.0
2020,232760000000.0
2021,211143200000.0
2022,211143200000.0
2023,211143200000.0
2024,211143200000.0
