year,gdp_per_capita
2000,35104.1308467844
2001,35618.5143698493
2002,35477.5151544301
2003,35270.0227284267
2004,35687.6378708542
2005,36024.0947047021
2006,37459.261328042
2007,38593.0749910508
2008,39009.8477636357
2009,36940.4078672661
2010,38526.7371042695
2011,40722.4849268242
2012,40834.5088218456
2013,40884.8926759028
2014,41602.4661281668
2015,41929.7549110722
2016,42516.9337063103
2017,43543.4807050551
2018,43905.8550061973
2019,44235.2658954682
2020,42372.8726784255
2021,44011.0194631674
2022,44817.1316331389
2023,44368.9920074881
2024,44027.7631554469
